a1,a2,a3
43513.43828375134,592785.1551492251,0.0
15084.463332565947,0.0,474016.3197307883
0.0,464641.5754501612,114654.25417229882
13299.99662191508,57494.16621448435,367019.8940473584
0.0,580828.2065879706,18887.39410602489
4997.018434223417,202191.49001057493,637453.9908340188
0.0,0.0,0.0
52083.3799325158,0.0,598518.4564232896
0.0,0.0,0.0
0.0,0.0,0.0
644852.7478516883,0.0,0.0
0.0,0.0,784961.0276672489
82653.14986342491,453521.66845607274,17757.63218277707
0.0,0.0,0.0
0.0,0.0,676365.8729804801
0.0,612390.9133450484,0.0
0.0,527044.7015771553,0.0
0.0,549847.3301411336,388.73375598627393
89518.4347711162,536264.0824945979,58894.05131288958
624723.0953109377,0.0,0.0
0.0,0.0,431443.58246022573
0.0,0.0,623531.0062622186
28594.98103891224,344137.8665462749,284912.6932187145
0.0,563953.0214705485,1617.1461036938272
616656.2780492496,0.0,0.0
0.0,0.0,1207641.7120845485
0.0,0.0,0.0
0.0,0.0,0.0
10813.562568797279,148613.24341085105,351612.1197124189
0.0,566590.2070276799,0.0
0.0,0.0,1628468.9953772929
573173.8143563787,0.0,0.0
0.0,62929.821931241626,545648.972934837
401.4668513935437,17745.473311899255,654306.1727039261
0.0,0.0,0.0
0.0,9002.314092175224,1021207.1160896643
8976.325999379897,606726.8919511907,0.0
0.0,0.0,947272.2831945268
0.0,0.0,927291.6525573966
0.0,0.0,0.0
0.0,71920.38943155593,725167.0651375353
0.0,583530.0902741039,0.0
0.0,0.0,0.0
609005.1301699304,17716.501707754345,0.0
0.0,0.0,0.0
0.0,597763.1780165253,0.0
0.0,0.0,0.0
0.0,546044.1992266338,0.0
3407.3629155234644,375922.19175932254,183554.75523358505
619791.3212065871,0.0,0.0
0.0,0.0,790255.7761298984
0.0,10652.355759344962,768907.3119804227
0.0,0.0,338167.952794574
0.0,0.0,0.0
0.0,689022.7401649106,0.0
0.0,637782.1275421652,9397.902815437363
0.0,292414.5428952601,217343.27460343152
638146.0990613305,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
183.53393503291656,0.0,600659.5637273124
0.0,590585.6290049466,0.0
0.0,515523.2955633822,0.0
0.0,0.0,0.0
0.0,669699.673014718,0.0
631939.7377017242,0.0,10126.71972291087
0.0,5793.236066602346,617733.8136353557
0.0,0.0,1163292.2862223971
0.0,0.0,827164.7778646564
0.0,0.0,673468.9469873529
25852.01065986136,561191.8475725634,1918.0544125542733
0.0,0.0,0.0
0.0,0.0,677696.3949398808
0.0,565200.4543182814,0.0
4505.674499655958,529437.2319386784,0.0
41933.035722765046,248614.99207453514,349789.18499254197
0.0,0.0,0.0
74674.12394108795,0.0,592719.9146545614
0.0,0.0,0.0
0.0,579372.6704047516,0.0
0.0,0.0,0.0
0.0,405587.3977726201,162848.27909872547
0.0,548631.4123352509,0.0
607279.4227814222,0.0,0.0
0.0,0.0,682989.8612977628
0.0,0.0,0.0
0.0,0.0,545113.3236751363
0.0,589548.737487666,0.0
0.0,0.0,0.0
614332.6432807129,0.0,0.0
185.4204878171448,598057.9392591732,0.0
0.0,0.0,866224.575418924
4797.326332216856,617825.6339795883,0.0
833.7732538856059,0.0,474842.38239138015
0.0,0.0,0.0
2021.1075124874678,13372.078417413119,531870.1709472765
645610.2892768888,0.0,0.0
621981.5057741706,0.0,0.0
0.0,0.0,563879.5748191866
0.0,23955.974338060245,826906.5489695378
0.0,0.0,0.0
0.0,84776.67954187449,665247.9411556183
0.0,0.0,567392.0308858767
0.0,0.0,640404.2236325857
0.0,0.0,672398.9221271767
0.0,0.0,0.0
0.0,566967.8265611508,69153.6083828143
0.0,0.0,446264.122691923
0.0,563141.0082543538,0.0
0.0,0.0,637665.6231876422
0.0,510829.1347294654,0.0
685640.3006902817,0.0,0.0
0.0,0.0,745162.1279951883
232.17437297035477,605278.4496924027,0.0
0.0,0.0,0.0
42105.295998600224,579853.1074807969,0.0
0.0,435518.53001103044,149920.98915431634
289919.3989429549,286153.58096697286,0.0
0.0,565709.1286854981,3445.8370844979345
0.0,0.0,400361.522205616
0.0,0.0,0.0
49074.80670749901,589886.4685277084,12751.136619998624
0.0,395144.2540560105,305431.8104723073
0.0,0.0,0.0
533353.5866402731,0.0,177484.08509466206
160189.18132160354,35926.99742651092,386342.403050952
625968.1588477936,0.0,0.0
0.0,516166.5930134053,67590.6537955233
0.0,596522.8539132896,0.0
0.0,582898.3880477684,0.0
0.0,549394.0664104944,20.086054942538677
0.0,0.0,0.0
0.0,0.0,780328.7896076622
616146.8776707622,12131.108674679632,0.0
4491.417769891039,0.0,525546.8687137836
663975.6689379071,0.0,0.0
0.0,592878.928780237,0.0
624824.6971295053,0.0,0.0
671196.7740031431,0.0,40261.16304480016
0.0,0.0,565283.6921730712
0.0,365046.79944476846,220642.97176629296
0.0,583137.8618678123,0.0
934.2148890642273,23454.99622467161,476781.8006755907
0.0,0.0,787033.7132308298
0.0,533179.8781780702,0.0
665804.7644403713,0.0,0.0
0.0,0.0,623115.1255594929
0.0,0.0,436737.81802189094
0.0,0.0,0.0
639436.8000415117,0.0,33952.20608530371
165172.71547672484,86343.0624658037,315269.4475682718
680175.7768587293,0.0,0.0
9225.374833436641,0.0,322903.3051394879
0.0,316682.58770577284,291595.7713429799
0.0,581104.2440603648,0.0
664692.8177733759,0.0,0.0
0.0,0.0,480818.19293805043
0.0,0.0,1301985.9543233842
0.0,0.0,1113611.8906195362
649187.801572684,0.0,0.0
0.0,27851.134868071575,775072.8756607586
0.0,0.0,451223.8866800849
339927.7453325206,171106.9229365979,161319.16677520823
0.0,0.0,0.0
30884.90982444248,0.0,411312.2894731134
0.0,0.0,730093.2157168564
0.0,523152.84563709033,0.0
672630.6092330024,0.0,0.0
0.0,0.0,1124262.8420635993
0.0,0.0,528815.6427449783
674845.4717758801,0.0,0.0
0.0,0.0,1130487.2171483755
31492.573177365994,544501.6584652069,0.0
0.0,39749.960659595024,637170.3815415081
0.0,0.0,0.0
103116.64731147146,499141.5156011903,0.0
0.0,0.0,0.0
599931.0474438025,0.0,0.0
11755.804088130752,5378.388553893637,427282.2909342835
2177.559819765097,581982.5487840003,2266.264440446713
171662.14104372382,107731.48280847368,408764.3141290252
0.0,4448.688053823441,652370.3774214508
0.0,0.0,0.0
0.0,0.0,0.0
14450.27334055263,0.0,432352.7211048298
0.0,516321.4646925122,0.0
0.0,0.0,628144.0539592266
108.97066275872686,137477.21582375639,657300.3346028369
660642.76283955,0.0,0.0
469933.6853733873,134834.51510052432,0.0
0.0,630669.5885303648,0.0
36816.097997824036,185528.8818781815,596791.0331458102
121010.16046536923,0.0,340637.73117683985
0.0,0.0,0.0
0.0,0.0,697741.5695629966
3753.8808346819833,0.0,611047.1413894686
0.0,0.0,661825.1805441779
0.0,0.0,0.0
14277.401501822013,415688.96976994205,159688.30375181974
56627.4139244214,0.0,799645.3135338613
0.0,0.0,0.0
36428.25807175577,220976.56493785046,443200.075497332
62.6929175468599,0.0,755313.5011352288
0.0,0.0,0.0
7175.835550276393,600040.2309081567,0.0
0.0,0.0,664948.1695838297
0.0,19864.86236364379,521385.33972023625
34250.313370104675,65060.50478299573,375362.541310179
188533.22234675896,363304.53968353785,0.0
653033.8375898787,0.0,0.0
0.0,0.0,0.0
0.0,660119.7402909956,0.0
0.0,565517.1694243315,0.0
25674.920460435274,0.0,856648.029203775
612742.486009519,0.0,0.0
685453.3674915886,0.0,0.0
532102.457463714,0.0,162755.000257063
13342.934282980632,0.0,533727.8889039052
671210.6656799602,1400.972183803529,0.0
0.0,0.0,0.0
0.0,0.0,591801.3093038751
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
635871.6306631983,0.0,0.0
0.0,589177.7148231332,0.0
0.0,0.0,0.0
14488.462285019074,552316.0463539286,43920.32080430919
0.0,0.0,660330.6425174901
0.0,0.0,709443.8005960938
658498.0302747166,0.0,0.0
8543.511267030006,231120.75657450463,623732.8834530349
0.0,643648.3020710725,0.0
0.0,677698.5840855362,123.81435612651823
0.0,0.0,0.0
0.0,591813.1203340228,0.0
0.0,0.0,500812.90321204066
0.0,4280.891728485398,536333.4777191805
774189.8804572265,0.0,0.0
667379.9758498934,0.0,0.0
0.0,580293.7768774896,0.0
0.0,0.0,584925.0534367929
620370.562766876,0.0,22312.542528114976
0.0,0.0,808658.4417927096
5211.153658791232,0.0,495439.0556059555
671004.4872442351,0.0,0.0
0.0,0.0,0.0
0.0,537100.2639025302,0.0
0.0,19560.431694561146,785760.2837008019
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,496237.02596263884,0.0
708697.6284990519,595.9873233580151,0.0
0.0,583498.0343963231,0.0
29527.440005094784,392.3708754133496,370727.41036599735
0.0,339467.3250822559,293685.5879054557
0.0,0.0,589093.00673822
0.0,0.0,0.0
0.0,0.0,509035.74332767585
0.0,0.0,0.0
479375.7448671791,0.0,133143.62135311047
588176.1694504615,0.0,0.0
0.0,0.0,928040.2160554979
0.0,646766.3262364015,0.0
0.0,0.0,245304.39144567572
693213.6187197975,0.0,0.0
0.0,0.0,0.0
0.0,450233.4908493709,95235.3952937238
0.0,0.0,0.0
0.0,165176.48712539824,496413.6066370214
0.0,0.0,0.0
0.0,0.0,0.0
0.0,592107.6420235396,0.0
0.0,0.0,590992.0384065256
664889.7689011089,478.63182849629646,18564.74560112574
0.0,0.0,675499.3952435671
507114.0890714542,0.0,87835.1914405122
7222.733331486632,0.0,1204945.005904056
0.0,0.0,540924.3929066494
0.0,0.0,649947.07125835
0.0,623035.719348356,0.0
0.0,0.0,0.0
8310.177960456927,0.0,443960.45514744037
0.0,0.0,0.0
0.0,0.0,0.0
0.0,7913.532630733185,561897.1892457844
